city_dev_norm,training_hours_norm,experience_norm,last_new_job_norm,company_type_encoded,company_size,target
0.942116,0.104478,1.000000,0.200000,0.000000,4.000000,1.000000
0.654691,0.137313,0.714286,1.000000,6.000000,3.000000,0.000000
0.351297,0.244776,0.238095,0.000000,0.000000,4.000000,0.000000
0.680639,0.152239,0.000000,0.000000,6.000000,4.000000,1.000000
0.636727,0.020896,1.000000,0.800000,2.000000,3.000000,0.000000
0.630739,0.068657,0.523810,0.200000,0.000000,4.000000,1.000000
0.942116,0.068657,0.238095,0.200000,2.000000,3.000000,0.000000
0.626747,0.050746,0.619048,1.000000,6.000000,1.000000,1.000000
0.942116,0.134328,0.333333,0.200000,6.000000,3.000000,1.000000
0.942116,0.364179,0.809524,1.000000,6.000000,8.000000,0.000000
0.351297,0.092537,0.095238,0.000000,0.000000,4.000000,1.000000
0.942116,0.319403,0.238095,0.200000,6.000000,7.000000,0.000000
0.928144,0.065672,1.000000,0.600000,6.000000,6.000000,0.000000
0.351297,0.068657,0.095238,0.000000,0.000000,4.000000,0.000000
0.351297,0.074627,0.238095,0.000000,0.000000,4.000000,0.000000
0.954092,0.050746,0.761905,1.000000,6.000000,4.000000,0.000000
0.942116,0.313433,0.047619,0.000000,6.000000,3.000000,0.000000
0.351297,0.017910,0.095238,0.400000,6.000000,7.000000,0.000000
0.351297,0.065672,0.333333,0.000000,6.000000,8.000000,1.000000
0.756487,0.391045,0.190476,0.200000,0.000000,4.000000,1.000000
0.788423,0.200000,0.523810,0.200000,6.000000,4.000000,0.000000
0.954092,0.146269,0.523810,0.400000,6.000000,4.000000,0.000000
0.710579,0.140299,0.476190,0.200000,0.000000,4.000000,0.000000
0.654691,0.191045,0.000000,0.200000,6.000000,6.000000,0.000000
0.351297,0.035821,0.238095,0.200000,6.000000,6.000000,0.000000
0.812375,0.062687,0.190476,0.000000,0.000000,4.000000,0.000000
0.351297,0.438806,0.666667,0.200000,6.000000,5.000000,1.000000
0.942116,0.211940,0.238095,0.400000,0.000000,4.000000,0.000000
0.876248,0.020896,0.523810,0.200000,6.000000,1.000000,1.000000
0.351297,0.200000,0.857143,0.400000,2.000000,3.000000,1.000000
0.942116,0.116418,1.000000,0.600000,6.000000,4.000000,0.000000
0.942116,0.417910,0.904762,1.000000,6.000000,7.000000,0.000000
0.942116,0.068657,0.238095,0.200000,0.000000,4.000000,0.000000
0.942116,0.241791,1.000000,1.000000,6.000000,4.000000,0.000000
